"pulls_spent","empirical_probability","cumulative_probability","risk_of_failure"
446,0.00043,0.98541,0.01459
447,0.00046,0.98587,0.01413
448,4e-04,0.98627,0.01373
449,0.00044,0.98671,0.01329
450,0.00038,0.98709,0.01291
451,0.00045,0.98754,0.01246
452,0.00033,0.98787,0.01213
453,0.00039,0.98826,0.01174
454,0.00029,0.98855,0.01145
455,0.00041,0.98896,0.01104
456,0.00048,0.98944,0.01056
457,0.00048,0.98992,0.01008
458,0.00037,0.99029,0.00971
459,5e-04,0.99079,0.00921000000000005
460,0.00049,0.99128,0.00871999999999995
461,0.00078,0.99206,0.00793999999999995
462,0.00071,0.99277,0.00722999999999996
463,0.00065,0.99342,0.00658000000000003
464,0.00075,0.99417,0.00583
465,0.00059,0.99476,0.00524000000000002
466,0.00082,0.99558,0.00441999999999998
467,0.00067,0.99625,0.00375000000000003
468,0.00072,0.99697,0.00302999999999998
469,0.00052,0.99749,0.00251000000000001
470,0.00037,0.99786,0.00214000000000003
471,0.00039,0.99825,0.00175000000000003
472,0.00034,0.99859,0.00141000000000002
473,0.00029,0.99888,0.00112000000000001
474,3e-04,0.99918,0.000820000000000043
475,0.00019,0.99937,0.000630000000000019
476,2e-04,0.99957,0.000430000000000041
477,7e-05,0.99964,0.000360000000000027
478,0.00013,0.99977,0.000229999999999952
479,8e-05,0.99985,0.000149999999999983
480,2e-05,0.99987,0.000129999999999963
481,3e-05,0.9999,9.9999999999989e-05
482,3e-05,0.99993,7.00000000000145e-05
483,2e-05,0.99995,4.99999999999945e-05
484,2e-05,0.99997,2.99999999999745e-05
487,2e-05,0.99999,9.99999999995449e-06
488,1e-05,1,0
